Date Disclosed,Project Name,Document Type,Project Number,Product Line,Company Name,Country,IFC Country Code,Sector,Environmental Category,Department,Status,Projected Board Date,IFC investment for Risk Management(Million - USD),IFC investment for Guarantee(Million - USD),IFC investment for Loan(Million - USD),IFC investment for Equity(Million - USD),Total IFC investment as approved by Board(Million - USD),WB Country Code,As of Date
01/08/2021,RSE COVID Parag,Summary of Investment Information,43983,Loan,Parag Milk Foods Limited,India,IND,Agribusiness and Forestry,B,Regional Industry - MAS Asia & Pac,Pending,10/06/2020,,,41.19,,41.19,IN,01/18/2021 09:37:00 PM
01/04/2021,Provident Housing,Summary of Investment Information,43201,Loan,PURAVANKARA LIMITED,India,IND,other,B,Regional Industry - MAS Asia & Pac,Active,11/09/2020,,,10.2,32.2,42.4,IN,01/18/2021 09:37:00 PM
12/21/2020,Stellaris Venture Partners India Trust II,Summary of Investment Information,44917,,STELLARIS ADVISORS LLP,India,IND,Funds,FI-3,Disruptive Technologies and Funds,Pending,02/12/2021,,,,,,IN,01/18/2021 09:37:00 PM
11/12/2020,NCML Silos,Summary of Investment Information,43587,Loan,NCML BASTI PRIVATE LIMITED,India,IND,Infrastructure,B,Regional Industry - INF Asia & Pac,Pending,12/14/2020,,,46.66,,46.66,IN,01/18/2021 09:37:00 PM
10/22/2020,Netafim India,Summary of Investment Information,44420,,NETAFIM IRRIGATION INDIA PRIVATE LIMITED,India,IND,Agribusiness and Forestry,B,Regional Industry - MAS Asia & Pac,Pending,11/20/2020,,,,,,IN,01/18/2021 09:37:00 PM
10/16/2020,Indospace COVID-19 Debt,Summary of Investment Information,43802,Loan,INDOSPACE LOGISTICS PARKS III LP,India,IND,other,B,Regional Industry - MAS Asia & Pac,Pending,11/20/2020,,,74.38,,74.38,IN,01/18/2021 09:37:00 PM
09/21/2020,RKF COVID Response,Summary of Investment Information,44016,Loan,RAMKRISHNA FORGINGS LIMITED,India,IND,Manufacturing,B,Regional Industry - MAS Asia & Pac,Active,07/02/2020,,,19.84,,19.84,IN,01/18/2021 09:37:00 PM
09/03/2020,RSE COVID DCM,Summary of Investment Information,44204,Loan,DCM SHRIRAM LIMITED,India,IND,Manufacturing,B,Regional Industry - MAS Asia & Pac,Active,06/12/2020,,,40,,40,IN,01/18/2021 09:37:00 PM
07/24/2020,Biological E II,Summary of Investment Information,44216,Loan,BIOLOGICAL E. LIMITED,India,IND,Health and Education,B,Regional Industry - MAS Asia & Pac,Pending,08/26/2020,,,30,,30,IN,01/18/2021 09:37:00 PM
05/29/2020,RSE COVID JK Paper,Summary of Investment Information,43078,Loan,JK PAPER LIMITED,India,IND,Agribusiness and Forestry,B,Regional Industry - MAS Asia & Pac,Pending,06/30/2020,,,34.4,,34.4,IN,01/18/2021 09:37:00 PM
05/28/2020,Fullerton Loan,Summary of Investment Information,43960,Loan,FULLERTON INDIA CREDIT COMPANY LIMITED,India,IND,Financial Institutions,FI-2,Regional Industry - FIG Asia & Pac,Pending,06/29/2020,,,100,,100,IN,01/18/2021 09:37:00 PM
05/21/2020,Endiya II,Summary of Investment Information,43680,Equity,ENDIYA PARTNERS FUND II,India,IND,Funds,FI-2,Disruptive Technologies and Funds,Active,06/22/2020,,,,19.84,19.84,IN,01/18/2021 09:37:00 PM
05/21/2020,OnSiteGo,Summary of Investment Information,43564,Equity,ONSITE ELECTRO SERVICES (PVT) LTD,India,IND,Financial Institutions,C,"Global Industry, Financial Markets",Active,06/19/2020,,,,10,10,IN,01/18/2021 09:37:00 PM
04/14/2020,India Alt II,Summary of Investment Information,43455,Equity,INDIA ALTERNATIVES PRIVATE EQUITY TRUST,India,IND,Funds,FI-2,Disruptive Technologies and Funds,Pending,05/26/2020,,,,10,10,IN,01/18/2021 09:37:00 PM
03/04/2020,Suguna III,Summary of Investment Information,42834,Loan,SUGUNA HOLDINGS PRIVATE LIMITED,India,IND,Agribusiness and Forestry,B,Regional Industry - MAS Asia & Pac,Pending,03/27/2020,,,53.92,,53.92,IN,01/18/2021 09:37:00 PM
02/11/2020,ORIENTAL INFRATRUST,Summary of Investment Information,39354,Loan,ORIENTAL STRUCTURAL ENGINEERS PRIVATE LIMITED,India,IND,Infrastructure,A,Regional Industry - INF Asia & Pac,Active,06/04/2018,,,72.25,28.9,101.15,IN,01/18/2021 09:37:00 PM
01/08/2020,ETC India 2,Summary of Investment Information,43027,Loan,ETC AGRO PROCESSING (INDIA) PRIVATE LIMITED,India,IND,Agribusiness and Forestry,B,Regional Industry - MAS Asia & Pac,Active,02/20/2020,,,22.41,,22.41,IN,01/18/2021 09:37:00 PM
01/08/2020,Apollo,Summary of Investment Information,43114,,NAVI TECHNOLOGIES PVT. LTD.,India,IND,Financial Institutions,FI-2,Regional Industry - FIG Asia & Pac,Hold,02/15/2020,,,,,,IN,01/18/2021 09:37:00 PM
01/07/2020,SECI Mahindra,Summary of Investment Information,42683,Loan,MAHINDRA RENEWABLES PRIVATE LIMITED,India,IND,Infrastructure,B,Regional Industry - INF Asia & Pac,Pending,02/21/2020,,,34.61,,34.61,IN,01/18/2021 09:37:00 PM
08/30/2019,Chiratae Venture,Summary of Investment Information,42714,Equity,CHIRATAE VENTURES INTERNATIONAL FUND IV LLC,India,IND,Funds,FI-2,Disruptive Technologies and Funds,Active,09/30/2019,,,,40,40,IN,01/18/2021 09:37:00 PM
07/09/2019,RBL Debt I,Summary of Investment Information,41811,Loan,RBL Bank Limited,India,IND,Financial Institutions,FI-2,Regional Industry - FIG Asia & Pac,Active,05/31/2019,,,150,,150,IN,01/18/2021 09:37:00 PM
06/18/2019,ISFC Equity,Summary of Investment Information,41234,,INDIAN SCHOOL FINANCE COMPANY PRIVATE LIMITED,India,IND,Financial Institutions,FI-2,Regional Industry - FIG Asia & Pac,Completed,07/29/2019,,,,,,IN,01/18/2021 09:37:00 PM
05/21/2019,FCL II,Summary of Investment Information,42394,Loan,FUTURE CONSUMER LIMITED,India,IND,"Tourism, Retail, and Property",B,Regional Industry - MAS Asia & Pac,Active,05/15/2019,,,30.31,0,30.31,IN,01/18/2021 09:37:00 PM
05/20/2019,Deepak Fert,Summary of Investment Information,40406,Loan,DEEPAK FERTILISERS AND PETROCHEMICALS CORPORATION LIMITED,India,IND,Manufacturing,B,Regional Industry - MAS Asia & Pac,Active,04/05/2019,,,60.31,,60.31,IN,01/18/2021 09:37:00 PM
05/16/2019,DCM Aavas NCD II,Summary of Investment Information,42529,Loan,AAVAS FINANCIERS LIMITED,India,IND,Financial Institutions,FI-3,Regional Industry - FIG Asia & Pac,Active,06/21/2019,,,50,,50,IN,01/18/2021 09:37:00 PM
05/14/2019,MTPL,Summary of Investment Information,41397,Loan,MAHANSARIA TYRES PRIVATE LIMITED,India,IND,Manufacturing,B,Regional Industry - MAS Asia & Pac,Active,06/16/2019,,,30,7.76,37.76,IN,01/18/2021 09:37:00 PM
04/26/2019,TMFL SME Financing,Summary of Investment Information,42444,Loan,TATA MOTORS FINANCE LIMITED,India,IND,Financial Institutions,FI-3,Regional Industry - FIG Asia & Pac,Active,05/31/2019,,,100,,100,IN,01/18/2021 09:37:00 PM
04/24/2019,HFE Bhadla,Summary of Investment Information,42694,Loan,CLEAN SOLAR POWER (JODHPUR) PRIVATE LIMITED,India,IND,Infrastructure,B,Regional Industry - INF Asia & Pac,Pending,05/24/2019,,,49.11,,49.11,IN,01/18/2021 09:37:00 PM
04/19/2019,DCM MMFSL II,Summary of Investment Information,42373,Loan,MAHINDRA AND MAHINDRA FINANCIAL SERVICES LIMITED,India,IND,Financial Institutions,FI-2,Regional Industry - FIG Asia & Pac,Active,05/20/2019,,,75,,75,IN,01/18/2021 09:37:00 PM
04/10/2019,VCT II,Summary of Investment Information,41434,Loan,VISAKHA CONTAINER TERMINAL PRIVATE LIMITED,India,IND,Infrastructure,B,Regional Industry - INF Asia & Pac,Pending,05/27/2019,,,46.23,,46.23,IN,01/18/2021 09:37:00 PM
04/08/2019,Piramal Capital and Housing Finance Limited,Summary of Investment Information,41814,Loan,PIRAMAL CAPITAL AND HOUSING FINANCE LIMITED,India,IND,Financial Institutions,FI-3,Regional Industry - FIG Asia & Pac,Active,05/20/2019,,,150.85,,150.85,IN,01/18/2021 09:37:00 PM
04/01/2019,DCM L&TF,Summary of Investment Information,42279,Loan,L&T FINANCE LIMITED,India,IND,Financial Institutions,FI-3,Regional Industry - FIG Asia & Pac,Active,05/02/2019,,,125,,125,IN,01/18/2021 09:37:00 PM
03/22/2019,DCM Sugar,Summary of Investment Information,42346,Loan,DCM SHRIRAM LIMITED,India,IND,Agribusiness and Forestry,B,Regional Industry - MAS Asia & Pac,Active,04/23/2019,,,35,,35,IN,01/18/2021 09:37:00 PM
03/01/2019,Signature,Summary of Investment Information,41206,Equity,SIGNATURE GLOBAL INDIA PRIVATE LIMITED,India,IND,other,B,Regional Industry - MAS Asia & Pac,Active,04/19/2019,,,0,30.07,30.07,IN,01/18/2021 09:37:00 PM
03/01/2019,Multiples Private Equity Fund III,Summary of Investment Information,41401,Equity,MULTIPLES PRIVATE EQUITY FUND III,India,IND,Funds,FI-2,Disruptive Technologies and Funds,Pending,04/02/2019,,,,20,20,IN,01/18/2021 09:37:00 PM
02/28/2019,A91 Partners,Summary of Investment Information,42382,Equity,A91 PARTNERS FUND I,India,IND,Funds,FI-2,Disruptive Technologies and Funds,Active,04/01/2019,,,,20,20,IN,01/18/2021 09:37:00 PM
02/28/2019,1mg,Summary of Investment Information,42489,Equity,1MG TECHNOLOGIES PRIVATE LIMITED,India,IND,other,B,Disruptive Technologies and Funds,Active,03/13/2019,,,,10.21,10.21,IN,01/18/2021 09:37:00 PM
02/27/2019,Dodla,Summary of Investment Information,42009,Loan,DODLA DAIRY LIMITED,India,IND,Agribusiness and Forestry,B,Regional Industry - MAS Asia & Pac,Active,02/14/2019,,,15.46,7.03,22.49,IN,01/18/2021 09:37:00 PM
02/25/2019,SHTF Sec.,Summary of Investment Information,42375,Loan,SHRIRAM TRANSPORT FINANCE COMPANY LIMITED,India,IND,Financial Institutions,FI-2,Regional Industry - FIG Asia & Pac,Pending,03/27/2019,,,101.95,,101.95,IN,01/18/2021 09:37:00 PM
02/15/2019,DCM Manappuram,Summary of Investment Information,41994,Loan,MANAPPURAM FINANCE LIMITED,India,IND,Financial Institutions,FI-3,Regional Industry - FIG Asia & Pac,Active,03/20/2019,,,77.54,,77.54,IN,01/18/2021 09:37:00 PM
02/06/2019,Mintifi,Summary of Investment Information,42062,Equity,MINTIFI PRIVATE LIMITED,India,IND,other,FI-2,"Global Industry, Financial Markets",Active,03/08/2019,,,,8,8,IN,01/18/2021 09:37:00 PM
11/05/2018,UjjivanSFB Tier2,Summary of Investment Information,41078,Loan,UJJIVAN SMALL FINANCE BANK,India,IND,Financial Institutions,FI-2,Regional Industry - FIG Asia & Pac,Pending,02/28/2019,,,50.65,,50.65,IN,01/18/2021 09:37:00 PM
09/17/2018,Shadowfax,Summary of Investment Information,41235,Equity,SHADOWFAX TECHNOLOGIES PRIVATE LIMITED,India,IND,Infrastructure,B,Disruptive Technologies and Funds,Active,09/28/2018,,,,3.86,3.86,IN,01/18/2021 09:37:00 PM
07/25/2018,Srinivasa Farms,Summary of Investment Information,41149,Equity,SRINIVASA FARMS PRIVATE LIMITED,India,IND,Agribusiness and Forestry,B,Regional Industry - MAS Asia & Pac,Active,08/31/2018,,,0,20.69,20.69,IN,01/18/2021 09:37:00 PM
06/29/2018,Camlin,Summary of Investment Information,39750,Loan,CAMLIN FINE SCIENCES LIMITED,India,IND,Manufacturing,B,Regional Industry - MAS Asia & Pac,Active,06/08/2018,,,30,,30,IN,01/18/2021 09:37:00 PM
05/31/2018,Azure RG,Summary of Investment Information,40099,Loan,AZURE POWER ROOFTOP (GENCO.) PRIVATE LIMITED,India,IND,Infrastructure,B,CN4S5 - Regional Industry - INF Asia & Pac/Infrastructure - CSA,Active,03/28/2018,,,45,,45,IN,01/18/2021 09:37:00 PM
05/29/2018,Time Technoplast,Summary of Investment Information,40768,Loan,TIME TECHNOPLAST LIMITED,India,IND,Manufacturing,B,Regional Industry - MAS Asia & Pac,Active,06/21/2018,,,38.53,,38.53,IN,01/18/2021 09:37:00 PM
05/16/2018,HDB Financial Services,Summary of Investment Information,40789,Loan,HDB FINANCIAL SERVICES LIMITED,India,IND,Financial Institutions,FI-2,Regional Industry - FIG Asia & Pac,Active,06/15/2018,,,144.5,,144.5,IN,01/18/2021 09:37:00 PM
05/07/2018,Arohan Fin,Summary of Investment Information,41105,Loan,AROHAN FINANCIAL SERVICES PRIVATE LIMITED,India,IND,Financial Institutions,FI-3,Regional Industry - FIG Asia & Pac,Active,06/10/2018,,,14.67,,14.67,IN,01/18/2021 09:37:00 PM
05/01/2018,HFCII_Aptus,Summary of Investment Information,40814,Loan,APTUS VALUE HOUSING FINANCE INDIA LIMITED,India,IND,Financial Institutions,FI-3,Regional Industry - FIG Asia & Pac,Active,05/31/2018,,,15.51,,15.51,IN,01/18/2021 09:37:00 PM
04/27/2018,Lithium,Summary of Investment Information,40171,Equity,LITHIUM URBAN TECHNOLOGIES PVT LTD,India,IND,Infrastructure,B,Regional Industry - INF Asia & Pac,Active,05/29/2018,,,,7.83,7.83,IN,01/18/2021 09:37:00 PM
04/13/2018,Craftsman III,Summary of Investment Information,40781,Loan,CRAFTSMAN AUTOMATION LIMITED,India,IND,Manufacturing,B,Regional Industry - MAS Asia & Pac,Active,05/15/2018,,,30,,30,IN,01/18/2021 09:37:00 PM
03/26/2018,DARP SPV IndiaRF,Summary of Investment Information,40569,Loan,INDIA RESURGENCE FUND LP,India,IND,Financial Institutions,FI-1,Regional Industry - FIG Asia & Pac,Active,05/01/2018,,,100,100,200,IN,01/18/2021 09:37:00 PM
02/22/2018,Jain IV,Summary of Investment Information,40251,Loan,JAIN IRRIGATION SYSTEMS LIMITED,India,IND,Agribusiness and Forestry,B,Regional Industry - MAS Asia & Pac,Active,02/26/2018,,,39.89,,39.89,IN,01/18/2021 09:37:00 PM
02/16/2018,DCM L&THF NCD,Summary of Investment Information,40542,Loan,L AND T HOUSING FINANCE LIMITED,India,IND,Financial Institutions,FI-2,Regional Industry - FIG Asia & Pac,Active,03/28/2018,,,75,,75,IN,01/18/2021 09:37:00 PM
02/15/2018,IndoSpace Fund III,Summary of Investment Information,40509,Equity,INDOSPACE LOGISTICS PARKS III LP,India,IND,other,FI-2,Regional Industry - MAS Asia & Pac,Active,03/20/2018,,,,25,25,IN,01/18/2021 09:37:00 PM
02/15/2018,DCM PNB HFL Bond,Summary of Investment Information,40989,Loan,P N B Housing Finance Limited,India,IND,Financial Institutions,FI-2,Regional Industry - FIG Asia & Pac,Active,03/26/2018,,,153.41,,153.41,IN,01/18/2021 09:37:00 PM
02/08/2018,Faering II,Summary of Investment Information,40323,Equity,FAERING CAPITAL EVOLVING FUND III LIMITED,India,IND,Funds,FI-2,Disruptive Technologies and Funds,Active,03/15/2018,,,,15.1,15.1,IN,01/18/2021 09:37:00 PM
01/31/2018,Bizongo,Summary of Investment Information,40950,Equity,SMARTPADDLE TECHNOLOGY PRIVATE LIMITED,India,IND,Agribusiness and Forestry,B,"TMT, Venture Capital & Funds",Active,03/05/2018,,,,4.99,4.99,IN,01/18/2021 09:37:00 PM
01/16/2018,DCM ABFL Green Bond,Summary of Investment Information,40557,Loan,ADITYA BIRLA FINANCE LIMITED,India,IND,Financial Institutions,FI-2,Regional Industry - FIG Asia & Pac,Active,04/16/2018,,,153.41,,153.41,IN,01/18/2021 09:37:00 PM
01/09/2018,Rewa Mahindra,Summary of Investment Information,40646,Loan,Mahindra Renewables Private Limited,India,IND,Infrastructure,B,Regional Industry - INF Asia & Pac,Active,02/09/2018,,,51.09,,51.09,IN,01/18/2021 09:37:00 PM
12/18/2017,Coverfox,Summary of Investment Information,40623,Equity,GLITTERBUG TECHNOLOGIES PRIVATE LIMITED,India,IND,Financial Institutions,C,"Global Industry, Financial Markets",Active,01/31/2018,,,,7,7,IN,01/18/2021 09:37:00 PM
